Number,Pathogen_Target,Latrine_ID,City,Depth,Depth_pathogen_presence,Top_from_same_latrine,Bottom_from_same_latrine,Middle_from_same_latrine,Top_Bot_combined_detections,Top_Mid_combined_detections,Bot_Mid_combined_detections,All_3_depths_detected,Only_2_depths_detected,Only_1_depth_detected,None_no_depths_detected,HH_population,shared_latrine,pit_type,ever_emptied,water_source,toilet_paper,latrine_age_years
3,ASLU_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
4,ASTR_1,4,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
5,CRPA_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
6,EIES_1,4,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,5,0,slab,yes,compound,paper,12
7,ENHI_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
8,GIAR_1,4,Mzuzu,Top,0,0,1,0,1,0,1,0,0,1,0,5,0,slab,yes,compound,paper,12
9,ROTA_1,4,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
10,SALS_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
11,TRTR_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
13,YERS_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
14,CDIF,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
15,EAEC,4,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
16,EPEC,4,Mzuzu,Top,0,0,1,0,1,0,1,0,0,1,0,5,0,slab,yes,compound,paper,12
17,ETEC,4,Mzuzu,Top,1,1,1,0,2,1,1,0,1,0,0,5,0,slab,yes,compound,paper,12
18,STEC,4,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,5,0,slab,yes,compound,paper,12
19,NORO,4,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,5,0,slab,yes,compound,paper,12
20,SAPV,4,Mzuzu,Top,1,1,0,1,1,2,1,0,1,0,0,5,0,slab,yes,compound,paper,12
21,CAMP,4,Mzuzu,Top,0,0,0,1,0,1,1,0,0,1,0,5,0,slab,yes,compound,paper,12
2,AD4X_1,4,Mzuzu,Middle,1,0,0,1,0,1,1,0,0,1,0,5,0,slab,yes,compound,paper,12
3,ASLU_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
4,ASTR_1,4,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
5,CRPA_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
6,EIES_1,4,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,5,0,slab,yes,compound,paper,12
7,ENHI_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
8,GIAR_1,4,Mzuzu,Middle,0,0,1,0,1,0,1,0,0,1,0,5,0,slab,yes,compound,paper,12
9,ROTA_1,4,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
10,SALS_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
11,TRTR_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
13,YERS_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
14,CDIF,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
15,EAEC,4,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
16,EPEC,4,Mzuzu,Middle,0,0,1,0,1,0,1,0,0,1,0,5,0,slab,yes,compound,paper,12
17,ETEC,4,Mzuzu,Middle,0,1,1,0,2,1,1,0,1,0,0,5,0,slab,yes,compound,paper,12
18,STEC,4,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,5,0,slab,yes,compound,paper,12
19,NORO,4,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,5,0,slab,yes,compound,paper,12
20,SAPV,4,Mzuzu,Middle,1,1,0,1,1,2,1,0,1,0,0,5,0,slab,yes,compound,paper,12
21,CAMP,4,Mzuzu,Middle,1,0,0,1,0,1,1,0,0,1,0,5,0,slab,yes,compound,paper,12
2,AD4X_1,4,Mzuzu,Bottom,0,0,0,1,0,1,1,0,0,1,0,5,0,slab,yes,compound,paper,12
3,ASLU_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
4,ASTR_1,4,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
5,CRPA_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
6,EIES_1,4,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,5,0,slab,yes,compound,paper,12
7,ENHI_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
